[29Nov2024 00:00:00.302] [Server thread/INFO] [com.willr27.blocklings.Blocklings/]: Creating trees list.
[29Nov2024 00:00:19.632] [Server thread/INFO] [net.minecraftforge.common.AdvancementLoadFix/]: Using new advancement loading for net.minecraft.advancements.PlayerAdvancements@79ced8b5
[29Nov2024 00:00:19.704] [Server thread/INFO] [net.minecraft.server.management.PlayerList/]: ATT_CANNIVAL[/127.97.139.157:41829] logged in with entity id 864 at (470.12545977768156, 112.4407950423101, -140.1728204007834)
[29Nov2024 00:00:19.839] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: ATT_CANNIVAL joined the game
[29Nov2024 00:00:19.846] [Server thread/INFO] [tac/]: PENDING
[29Nov2024 00:00:20.157] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@6ecd4bf7 (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.158] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@6b32e012 (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.159] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardInfoActionArgument@5b110777 (class chanceCubes.commands.RewardInfoActionArgument) - will not be sent to client!
[29Nov2024 00:00:20.159] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize chanceCubes.commands.RewardArgument@791d8eec (class chanceCubes.commands.RewardArgument) - will not be sent to client!
[29Nov2024 00:00:20.161] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize jackiecrazy.wardance.command.SkillArgument@56588ce4 (class jackiecrazy.wardance.command.SkillArgument) - will not be sent to client!
[29Nov2024 00:00:20.162] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@30120839 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.163] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@40ed3989 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.163] [Netty Epoll Server IO #2/ERROR] [net.minecraft.command.arguments.ArgumentTypes/]: Could not serialize dev.toma.gunsrpg.common.command.JsonArgumentType@393481b8 (class dev.toma.gunsrpg.common.command.JsonArgumentType) - will not be sent to client!
[29Nov2024 00:00:20.172] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:general'
[29Nov2024 00:00:20.173] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:item_values'
[29Nov2024 00:00:20.173] [Server thread/INFO] [ToolLeveling/]: Sending config to client: 'toolleveling:commands'
[29Nov2024 00:00:20.176] [Server thread/INFO] [net.mcreator.tmtmcoresandmore.TmtmcoresandmoreMod/]: TmTmc-OresAndMore loaded
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:72]: enable_welcome: true
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:73]: welcome_message: Welcome to our server 
[29Nov2024 00:00:20.178] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:74]: enable_all_ores: true
[29Nov2024 00:00:20.179] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:75]: enable_all_ingots: true
[29Nov2024 00:00:20.180] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:76]: enable_all_blocks: true
[29Nov2024 00:00:20.180] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:77]: enable_all_armors: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:78]: enable_all_swords_bows: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:79]: enable_all_foods: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:80]: enable_all_paintings: true
[29Nov2024 00:00:20.181] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:81]: enable_all_poisons: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:82]: enable_all_powders: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:83]: enable_all_tools: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:84]: enable_all_recipes: true
[29Nov2024 00:00:20.182] [Server thread/INFO] [STDOUT/]: [net.mcreator.tmtmcoresandmore.procedures.OpenConfigFileProcedure:executeProcedure:85]: enable_all_advancements: true
[29Nov2024 00:00:20.234] [Server thread/INFO] [io.github.lightman314.lightmanscurrency.LightmansCurrency/]: Reloading ATM Data
[29Nov2024 00:00:20.297] [Server thread/INFO] [structurize/]: New Server UUID 19b458ed-ae09-4eec-814e-3164a5e78aad
[29Nov2024 00:00:20.432] [Thread-13/INFO] [chancecubes/]: No custom rewards detected for the current user!
[29Nov2024 00:00:20.838] [Server thread/INFO] [com.alrex.parcool.ParCool/]: Limitation of fc7b24d9-b9a0-37fe-a22c-1653103fa143 was loaded
[29Nov2024 00:03:18.894] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2200, l='ServerLevel[world]', x=565.00, y=58.00, z=-166.00]
[29Nov2024 00:03:18.895] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2201, l='ServerLevel[world]', x=606.00, y=65.00, z=-190.00]
[29Nov2024 00:03:18.895] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2202, l='ServerLevel[world]', x=593.00, y=40.00, z=-209.00]
[29Nov2024 00:03:18.896] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2203, l='ServerLevel[world]', x=607.00, y=57.00, z=-197.00]
[29Nov2024 00:03:18.896] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2204, l='ServerLevel[world]', x=572.00, y=57.00, z=-186.00]
[29Nov2024 00:03:18.897] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Wheat Seeds'/2205, l='ServerLevel[world]', x=616.33, y=74.40, z=-191.65]
[29Nov2024 00:03:18.897] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2206, l='ServerLevel[world]', x=587.00, y=45.00, z=-204.00]
[29Nov2024 00:03:18.898] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2207, l='ServerLevel[world]', x=596.00, y=52.00, z=-238.00]
[29Nov2024 00:03:18.898] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2208, l='ServerLevel[world]', x=622.00, y=57.00, z=-203.00]
[29Nov2024 00:03:18.899] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2209, l='ServerLevel[world]', x=598.00, y=56.00, z=-187.00]
[29Nov2024 00:03:18.899] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2210, l='ServerLevel[world]', x=586.00, y=45.00, z=-184.00]
[29Nov2024 00:03:18.899] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2211, l='ServerLevel[world]', x=625.00, y=56.00, z=-192.00]
[29Nov2024 00:03:18.900] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2212, l='ServerLevel[world]', x=589.00, y=54.00, z=-200.00]
[29Nov2024 00:03:18.900] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2213, l='ServerLevel[world]', x=569.00, y=51.00, z=-215.00]
[29Nov2024 00:03:18.901] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2214, l='ServerLevel[world]', x=576.00, y=42.00, z=-185.00]
[29Nov2024 00:03:18.901] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2215, l='ServerLevel[world]', x=607.00, y=46.00, z=-223.00]
[29Nov2024 00:03:18.902] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2216, l='ServerLevel[world]', x=617.00, y=71.00, z=-186.00]
[29Nov2024 00:03:18.902] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2217, l='ServerLevel[world]', x=595.00, y=39.00, z=-210.00]
[29Nov2024 00:03:18.903] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Peony'/2219, l='ServerLevel[world]', x=626.42, y=66.56, z=-206.30]
[29Nov2024 00:03:18.903] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2220, l='ServerLevel[world]', x=567.00, y=43.00, z=-213.00]
[29Nov2024 00:03:18.903] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2221, l='ServerLevel[world]', x=606.00, y=66.00, z=-189.00]
[29Nov2024 00:03:18.904] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2222, l='ServerLevel[world]', x=620.00, y=60.00, z=-208.00]
[29Nov2024 00:03:18.904] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2223, l='ServerLevel[world]', x=579.00, y=39.00, z=-209.00]
[29Nov2024 00:03:18.904] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2224, l='ServerLevel[world]', x=616.00, y=53.00, z=-200.00]
[29Nov2024 00:03:18.905] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2225, l='ServerLevel[world]', x=587.00, y=39.00, z=-196.00]
[29Nov2024 00:03:18.905] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2226, l='ServerLevel[world]', x=607.00, y=68.00, z=-218.00]
[29Nov2024 00:03:18.906] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2227, l='ServerLevel[world]', x=626.00, y=62.00, z=-222.00]
[29Nov2024 00:03:18.906] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2228, l='ServerLevel[world]', x=598.00, y=46.00, z=-177.00]
[29Nov2024 00:03:18.906] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ExperienceOrbEntity['Experience Orb'/2229, l='ServerLevel[world]', x=590.00, y=46.00, z=-194.00]
[29Nov2024 00:03:18.907] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Poppy'/2230, l='ServerLevel[world]', x=583.74, y=64.71, z=-215.38]
